TradingDay,Timestamp,InstrumentID,PreClosePrice,Open,High,Low,Volume,Turnover,Close
2023-06-01 00:00:00,2023-06-01 09:26:00,123181,161.331,161.8,161.8,161.8,6900,1116420.0,161.8
2023-06-01 00:00:00,2023-06-01 09:31:00,123181,161.331,161.58,162.184,161.0,61100,9883344.91,162.184
2023-06-01 00:00:00,2023-06-01 09:32:00,123181,161.331,162.324,163.221,161.601,102460,16637773.53,161.696
2023-06-01 00:00:00,2023-06-01 09:33:00,123181,161.331,161.605,162.26,161.341,38490,6225348.15,162.26
2023-06-01 00:00:00,2023-06-01 09:34:00,123181,161.331,162.572,163.74,162.49,115630,18865071.86,163.213
2023-06-01 00:00:00,2023-06-01 09:35:00,123181,161.331,163.332,163.332,162.51,56930,9272179.15,162.553
2023-06-01 00:00:00,2023-06-01 09:36:00,123181,161.331,162.553,162.638,162.003,55050,8934090.45,162.174
2023-06-01 00:00:00,2023-06-01 09:37:00,123181,161.331,162.87,163.25,162.663,62790,10225888.13,162.889
2023-06-01 00:00:00,2023-06-01 09:38:00,123181,161.331,162.662,164.424,162.662,123170,20181992.08,164.174
2023-06-01 00:00:00,2023-06-01 09:39:00,123181,161.331,164.092,164.118,163.331,74440,12199363.98,163.672
2023-06-01 00:00:00,2023-06-01 09:40:00,123181,161.331,163.626,164.549,163.626,95600,15708104.9,164.306
2023-06-01 00:00:00,2023-06-01 09:41:00,123181,161.331,164.269,164.619,163.926,87250,14339461.92,164.2
2023-06-01 00:00:00,2023-06-01 09:42:00,123181,161.331,164.116,164.116,163.665,49080,8043537.98,163.725
2023-06-01 00:00:00,2023-06-01 09:43:00,123181,161.331,163.814,164.55,163.812,71000,11668592.13,164.55
2023-06-01 00:00:00,2023-06-01 09:44:00,123181,161.331,164.495,164.61,164.026,54250,8921071.11,164.561
2023-06-01 00:00:00,2023-06-01 09:45:00,123181,161.331,164.447,164.883,163.664,66850,10992018.33,163.664
2023-06-01 00:00:00,2023-06-01 09:46:00,123181,161.331,163.51,163.689,163.269,56180,9185431.13,163.348
